الماركة,اسم المنتج,الفئة,الكمية
Sidi Ali,Sidi Ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",33 cl
Jaouda,Perly,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Cream cheeses,fr:Fromages-frais-sucres",85 g
sidi ali,Sidi Ali,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",2 L
"Les Eaux Minérales d'oulmès,Sidi Ali",Eau minérale naturelle,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters","1,5 L"
"pepsi,PepsiCo",اكوافينا,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Eaux de table",33cl
Jaouda,Lait,"Dairies,Meals,Milks (liquid and powder),Milks,Semi-skimmed milks",450 ml
Cristaline,Eau De Source,"Beverages and beverages preparations,Beverages,Waters,Spring waters,Mineral waters,Unsweetened beverages,Natural mineral waters",1500 ml
MILKY FOOD PROFESSIONAL,Fromage blanc nature,"Dairies,Fermented foods,Fermented milk products,Cheeses,Desserts,Dairy desserts,Fermented dairy desserts,Fromages blancs - petit suisses and skyr,Plain fermented dairy desserts,fr:Fromages blancs,fr:Fromages blancs natures",1kg
Jaouda,uht jaouda 1L,"Dairies,Milks,Homogenized milks,UHT Milks,Whole milks,Cow milks,Whole milk UHT",1L
Jaouda,Jben,"en:Dairies, en:Fermented foods, en:Fermented milk products, en:Spreads, en:Cheeses, en:Salted spreads, en:Cheese spreads, en:Fromage frais nature à 21%de matière grasse",160g
Danone,Ain Saïss,"Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Boissons sans sucre ajouté",1.5 l
Ain atlas,Eau minéral naturelle,"Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters",33cl
Sidi Ali,6111035000027,Eaux minérales naturelles,50 cl
"Marmite,Unilever",Marmite Yeast Extract,"Dairies, Fermented foods, Fermented milk products, Buttermilks, en:yeast-extract-spreads",250 g
Jaouda,,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Fromages blancs - petit suisses et skyr,Yaourts,Desserts lactés fermentés nature,Fromages blancs,Fromages blancs natures",80 g
centrale danone,Lait Frais,"Dairies, Milks, Fresh milks, en:semi-skimmed-milks",470 ml
lilia,,"Plant-based foods and beverages,Dairies,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Animal fats,Dairy spreads,Margarines,Milkfat,Butters",200 g
pepsi,اكوافينا,"boissons-et-préparations-de-boissons, boissons, eaux, eaux-de-sources, eaux-minérales, eaux-de-table, fr:eaux","1,5l"
Lu,Prince Goût Chocolat,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat",300 g
Lindt,Excellence Noir Prodigieux 90% Cacao,"Snacks,Zoete snacks,Cacao en afgeleide producten,Chocoladeproducten,Pure chocolades,Extra fijne pure chocolade",100 g
Les eaux minérales d'Oulmès S.A.,Oulmes natural carbonated water,"Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eaux minérales gazeuses",1L
Ferrero,Nutella,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",1 kg
Coca cola,Orange juice,"Cibi e bevande a base vegetale,Bevande,Bevande a base di piante,Bevande a base di frutta,Succo e nettare,en:Orange-based beverages",1L
Bimo,Tonik,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Cereals and their products,Cocoa and its products,Confectioneries,Flours,Biscuits,Cereal flours,Chocolate candies,Sweeteners,Wheat flours,Sugars,fr:Gaufrettes-fourrees-au-cacao",22 g
,levure pâtisserie,levure patissiere,80 g
Danone,Ain Saiss Eau Minerale Naturelle,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales",0.33 L
